island_code,map_name,genre
8512-6272-4935,1v1 1v1 A,1v1
6155-1398-4059,1V1 WITH EVERY GUN,1v1
3533-5211-7130,MEGA 1V1 ALL GUNS & VEHICLES,1v1
8765-4125-9209,1v1v1 Reload 1v1 Realistics Free for All,1v1
1832-0431-4852,1v1 Build Fights! [4.6.4],1v1
8064-7152-2934,1v1 0 BHE,1v1
7835-3901-1999,1v1 Build Fight [Rezon],1v1
8298-6891-9930,Piece Control 1v1 🎯,1v1
3537-4087-0888,PRO ZONE WARS (1V1 TO 4V4),1v1
8301-9379-2032,1v1v1 1v1 1V1,1v1
6198-5541-5105,SUPER 1V1 FFA,1v1
4062-1024-9914,1v1 A,1v1
2226-1179-8712,1V1 [ NAMES OFF ],1v1
8402-3642-6726,Sideflipz Build Fights (200 Pumps),1v1
1743-6794-6591,SUPER 1V1 PRACTICE,1v1
7189-2269-9140,7PANS 1V1 (AIM & PIECE CONTROL PRACTICE),1v1
0148-0322-5437,Piece Control 2v2 🎯,boxfights
2515-6266-7600,BOX PVP,boxfights
6570-5231-1418,SPEED 2V2 REALISTICS - FINEST REALISTIC,boxfights
6562-8953-6567,PANDVIL Box Fights (2v2) 📦,boxfights
8532-9413-6963,MINIGAME BOX PVP 📦 100+ Minigames 👑,boxfights
6366-6217-9042,Piece Control 3v3 🎯,boxfights
6145-7952-0729,DUO BOX PVP,boxfights
9854-1829-8735,1V1-4V4 REALISTICS - FINEST REALISTIC,boxfights
2229-0355-6965,1v1 BOX PVP - BOX FIGHTS (BOX),boxfights
7950-6306-4857,1V1 SPEED REALISTICS - FINEST REALISTIC,boxfights
6809-4712-6549,1V2 CLUTCH REALISTICS 🎯 MARTOZ 2V1 DUO,boxfights
8879-3031-2747,SQUAD BOX PVP,boxfights
7686-1102-4551,PANDVIL Box Fights (3v3) 📦,boxfights
1032-8514-3619,TROLL BOX PVP - BOX FIGHTS (BOX),boxfights
6369-4500-6726,SPEED 3V3 REALISTICS - FINEST REALISTIC,boxfights
0153-8328-7526,PANDVIL Box Fights (1v1) 📦,boxfights
3305-1551-7747,🐐 GO GOATED! Zone Wars 🌀,zonewars
3729-0643-9775,TILTED ZONE WARS ⭐ (AM),zonewars
7441-9489-4182,the Last STORM 🌀 - 2v2 سكرمز العاصفه,zonewars
4804-8860-2398,1v1 1v1v1 [ EVERY GUN ],zonewars
6568-3461-2958,DUO CUP ZONE WARS [ENDGAME],zonewars
5075-1953-0397,SOLO CUP ZONE WARS [ENDGAME],zonewars
3181-8882-6695,the Last STORM 🌀 - 3v3 سكرمز العاصفه,zonewars
8189-6786-4181,🏆 سكرمز المعرقين SOLO SCRIMS RELOAD 🏆,zonewars
6242-8952-3865,🥇🏆🇵🇸سكرمز فلسطين 🇵🇸🏆🥇,zonewars
6940-8669-1904,سكرمز<RASF🏆🥇,zonewars
6594-5354-3157,دو سكرمز المعرقين 🏆 DUO SCRIMS RELOAD,zonewars
1760-0152-1306,TILTED ZONE WARS (ALL WEAPONS) ⭐ (AM),zonewars
6013-7804-4824,Desert Zone Wars🌵,zonewars
8685-1467-7801,🏆 سكرمز المعرقين SOLO SCRIMS RANKED 🏆,zonewars
6908-1868-5705,TILTED ZONE WARS (NAMES OFF) ⭐ (AM),zonewars
