island_code,map_name,genre
3225-0366-8885,STEAL THE BRAINROT,tycoon
7875-7934-3852,GO UP FOR BRAINROTS,tycoon
4562-1144-3713,INFINITE GYM TYCOON💪,tycoon
7048-8422-2298,Bed Wars,tycoon
5372-7436-3186,CASH TYCOON 2,tycoon
6586-8735-3733,Infinity Tower Tycoon,tycoon
4554-4413-1515,FRUITS VS BRAINROTS,tycoon
5655-2869-7519,SQUID GAME TYCOON,tycoon
5819-6973-9807,Survive LAVA for Brainrots! [BRAINROT],tycoon
2311-7649-8274,Miner Tycoon 2,tycoon
3305-1551-7747,🐐 GO GOATED! Zone Wars 🌀,zonewars
3729-0643-9775,TILTED ZONE WARS ⭐ (AM),zonewars
7441-9489-4182,the Last STORM 🌀 - 2v2 سكرمز العاصفه,zonewars
3537-4087-0888,PRO ZONE WARS (1V1 TO 4V4),zonewars
4804-8860-2398,1v1 1v1v1 [ EVERY GUN ],zonewars
9854-1829-8735,1V1-4V4 REALISTICS - FINEST REALISTIC,zonewars
6568-3461-2958,DUO CUP ZONE WARS [ENDGAME],zonewars
8189-6786-4181,🏆 سكرمز المعرقين SOLO SCRIMS RELOAD 🏆,zonewars
6940-8669-1904,سكرمز<RASF🏆🥇,zonewars
5075-1953-0397,SOLO CUP ZONE WARS [ENDGAME],zonewars
4586-5950-5525,🔍 Egg Hunt 4 🥚100+ Eggs 🐰,prop-hunt
9525-2043-3889,Drive Thru Prop Hunt 🍟,prop-hunt
0992-9699-5281,SUPERMARKET PROP HUNT 🛒 hide and seek,prop-hunt
2977-5695-7180,MINI HIDE AND SEEK 👀[PROP HUNT],prop-hunt
3808-8348-4233,🐱HYPER CAT LIFE🐈,prop-hunt
8035-7345-6759,YPF: FULL Prop Hunt,prop-hunt
6254-5621-3460,MEGA MALL PROP HUNT🛍️,prop-hunt
0601-7575-0495,SHREK PROP HUNT,prop-hunt
1245-9511-3686,Supermarket Prop Hunt 🛒 Shop Mall,prop-hunt
3692-1099-8591,FORTMART PROP HUNT HIDE AND SEEK,prop-hunt
0243-3963-9174,THE BANK HEIST [ROGUELIKE],deathrun
7300-0705-2924,PRISON ESCAPE [ROGUELIKE],deathrun
7660-6642-4841,KPOP ESCAPE [ROGUELIKE],deathrun
4366-9611-6988,Only Up Fortnite! 🌄,deathrun
2678-5257-1845,GOATED RAMP JUMP,deathrun
0986-9962-2231,STRANGER THINGS ESCAPE 2 [ROGUELIKE],deathrun
6431-5855-3798,DEFAULT DEATHRUN PARKOUR 200+,deathrun
0335-8436-1670,HAVOC HOTEL 3 [ROGUELIKE],deathrun
5822-9054-9053,PARKOUR DEATHRUN TIKTOKER 400+,deathrun
0436-6653-7192,🌈FALL GUYS 150+ OBBY PARKOUR,deathrun
5791-2777-2631,BZM TOWN 🌙 بزم تاون,open-world
0324-6525-3171,RESPECT TOWN⭐ريسبكت تاون,open-world
7314-4269-5911,The Hood,open-world
9909-6421-7669,CASH CITY,open-world
2311-7649-8274,Miner Tycoon 2,open-world
8352-7392-6528,🚓 BANK CITY سيتي بنك 🏙️ DRIVE FFA RP🚨,open-world
4225-6009-1837,SKYBOX,open-world
6246-3089-1172,🚔DRIVE CITY - ALL WEAPONS💥,open-world
5691-7662-0357,FOX & WOLF GARDEN,open-world
2757-3848-1680,🤖 99 BOTS ZOMBIES BRAINROT🧟,open-world
